################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         17   6.8624638057034740E-02   1.0560283682316760E+00   6.1326838211021284E-01   1.4768231898654330E-01
         2         18   0.0000000000000000E+00   3.0084587038733285E-01   3.5117728321610607E-02   4.3047171499302810E-02
         2         19   7.2215236121155921E-02   1.2862155124045729E+00   8.0279832513749461E-01   1.7594146270616723E-01
         2         20   1.6520624706458525E-02   7.0254571296265622E-01   4.0913758397522065E-01   1.0423119784908359E-01
         2         21   0.0000000000000000E+00   1.8115428986073207E-01   2.3486821496316170E-02   2.6093612387574742E-02
         2         22   4.1601988816402445E-02   6.5934482114299064E-01   4.0953230835744603E-01   9.3191013017249469E-02
         2         23   1.2944630426322724E-02   3.5771179797234487E-01   2.1177054072693333E-01   5.1933396687370015E-02
         2         24   0.0000000000000000E+00   9.7651585934689755E-02   1.4425148382045366E-02   1.4853737707969654E-02
         2         25   2.0299011099354419E-02   2.5792841583724779E-01   1.5436807975248099E-01   3.6028367383708015E-02
         2         26   7.3356519839702814E-03   1.4999555861969271E-01   8.0507360863512914E-02   1.9809531023706833E-02
         2         27   0.0000000000000000E+00   4.1003240372241158E-02   5.8570794875600751E-03   5.5981231105637404E-03
         2         28   5.9738242899075112E-03   6.7107576081893730E-02   3.9033568616150149E-02   9.2633440449801582E-03
         2         29   1.4425810446372668E-03   4.0023615843780183E-02   1.9838075488128697E-02   5.0520827474301606E-03
         2         30   0.0000000000000000E+00   8.7719096826133856E-03   1.4304219589817682E-03   1.3596142780868388E-03
         2         31   2.9515107757791183E-02   1.9729734087822537E-01   8.7671246314175111E-02   2.2870589879277151E-02
         2         32   9.9771806572947967E-04   6.8699267531418626E-02   2.3714162455715258E-02   8.5443889245181322E-03
         2         33   0.0000000000000000E+00   3.3851880527822703E-02   3.6364860980576800E-03   5.9060706915066872E-03
         2         34   3.0209898466679030E-06   5.9374743662872209E-03   1.6626465384253851E-03   8.0639500124532991E-04
         2         35   0.0000000000000000E+00   6.6657704901229888E-03   5.4199169812279777E-04   8.6252575247804802E-04
         2         36   0.0000000000000000E+00   2.7007736058245872E-03   2.5510371469164573E-05   1.2182538559065774E-04
         2         37   2.3901401650202606E-02   2.9205342278698349E-01   1.1964197564323768E-01   3.4589811198469086E-02
         2         38   8.9129476804439521E-03   2.2964336222525533E-01   1.0134728989454428E-01   2.9927872896866589E-02
         2         39   0.0000000000000000E+00   4.2936686099251734E-02   4.0293799061074933E-03   5.6372604929575999E-03
         2         40   5.3979461226135131E-05   1.3835518666763819E-02   4.7002304285090482E-03   2.0335458551666917E-03
         2         41   0.0000000000000000E+00   2.0022012649881592E-02   1.9506303084469673E-03   2.7528532234931610E-03
         2         42   0.0000000000000000E+00   3.5753987956724880E-03   3.0780149761247389E-05   1.5039023690724925E-04
         2         43   3.7199316805295122E-03   5.1481609846060698E-02   2.2870602005935357E-02   7.0369232090262889E-03
         2         44   1.4908355781232245E-04   1.3673450198535926E-02   4.8795834800433252E-03   1.8093837248598311E-03
         2         45   0.0000000000000000E+00   1.0569395976909968E-02   1.0398388135454530E-03   1.8569547728448711E-03
         2         46   3.0854152862256189E-09   7.0273341366744403E-04   1.2861213814410700E-04   8.2544183391942841E-05
         2         47   0.0000000000000000E+00   7.6091538908174764E-04   4.8168108367107243E-05   9.2213011962973465E-05
         2         48   0.0000000000000000E+00   5.4966093000839646E-04   4.3035828398687702E-06   2.3456180802914602E-05
         2         49   4.9709422369725127E-03   1.4007533440643946E-01   5.5128436621582427E-02   1.6947257685309705E-02
         2         50   7.7270852654030024E-03   1.6348562736238370E-01   7.7024036583943703E-02   2.1311973315253044E-02
         2         51   0.0000000000000000E+00   1.3998523311368640E-02   1.3750840766765160E-03   1.7289372699289978E-03
         2         52   4.6241295084647133E-05   6.3926620148693309E-03   2.2947753621855365E-03   9.3829667856875428E-04
         2         53   0.0000000000000000E+00   1.0701323970502991E-02   1.1187574585740645E-03   1.5049096589120543E-03
         2         54   0.0000000000000000E+00   8.8927207002643114E-04   7.7162488772935605E-06   3.9137334434008530E-05
         3          1   3.4408774015575944E-05   5.1281495855191751E-03   5.6056256734421134E-04   5.2786201056653325E-04
         3          2   4.8370348821584101E-04   9.4416079095992287E-03   2.5651869047357933E-03   9.7847184689630489E-04
         3          3   0.0000000000000000E+00   4.4055824530792198E-05   9.0681455994278232E-07   4.5691616479914984E-06
         3          4   1.7954816406019027E-03   7.0976045437558588E-02   1.4184890522038985E-02   8.1392003074544222E-03
         3          5   1.2630897673251323E-02   1.0224695625020250E-01   4.2892372251168223E-02   1.1450616244590393E-02
         3          6   0.0000000000000000E+00   1.6574922600359919E-03   4.0151480934736916E-05   1.7510919026875234E-04
         3          7   3.5978045794938532E-02   4.0434319870433416E-01   1.5259562275329389E-01   5.1873577037119291E-02
         3          8   1.2891420868770614E-01   4.5398221260078669E-01   2.8129255285352833E-01   4.8436658829862887E-02
         3          9   0.0000000000000000E+00   2.3136792818614013E-02   7.2590329797055000E-04   2.5708711376354536E-03
         3         10   2.8267230695203049E-01   1.2120005460972358E+00   7.0430864917920732E-01   1.3608682659962351E-01
         3         11   4.9950543824456545E-01   9.9330045489392105E-01   7.4417234464932780E-01   7.6861337028692342E-02
         3         12   0.0000000000000000E+00   1.1989151246753106E-01   5.7140723174237511E-03   1.4869433401821515E-02
         3         13   8.7321249634382681E-01   1.9198901390368095E+00   1.4355355351977861E+00   1.6084210227987797E-01
         3         14   5.7656710303598047E-01   1.1016341045348583E+00   8.6479359598343697E-01   7.8607082206769693E-02
         3         15   0.0000000000000000E+00   2.3075284251191888E-01   2.1339124451913310E-02   3.6330559718832811E-02
         3         16   8.2360847147921412E-01   1.8166761793620456E+00   1.4126431767455143E+00   1.3822779753808667E-01
         3         17   3.2711870947024091E-01   9.0242722277351861E-01   5.9191461524263900E-01   7.9564191926810288E-02
         3         18   0.0000000000000000E+00   2.2031110179998056E-01   4.0531014591076442E-02   4.5079381622097944E-02
         3         19   4.4990899172243820E-01   1.1794698667341323E+00   8.5024504389025990E-01   1.0013240439997481E-01
         3         20   1.4253771824989989E-01   5.7667003050451149E-01   3.9587392390382642E-01   6.0552727402172067E-02
         3         21   0.0000000000000000E+00   1.4696168891648903E-01   3.9829680592861773E-02   3.4953959989079228E-02
         3         22   1.9266705508672916E-01   6.1071826097361559E-01   4.3058782998215006E-01   5.4702626488853032E-02
         3         23   1.0014293724749929E-01   3.3436650628439496E-01   2.4313805483602410E-01   3.2767917968912028E-02
         3         24   0.0000000000000000E+00   6.5093021725570063E-02   2.0384546356193200E-02   1.6197851952489239E-02
         3         25   8.7805927259918301E-02   2.4013805367288654E-01   1.7962366809201324E-01   2.3325960296447748E-02
         3         26   4.2310791273499015E-02   1.3785147497748687E-01   9.8721959449502156E-02   1.4158686110483033E-02
         3         27   0.0000000000000000E+00   2.7820050347758318E-02   5.9199356524171120E-03   4.6589342275021144E-03
         3         28   2.2646957662431678E-02   6.6981080428651057E-02   4.8058529658267880E-02   6.8989301345477915E-03
         3         29   1.0774920324245083E-02   3.6785519926393229E-02   2.4109978177725234E-02   4.2761507138881390E-03
         3         30   0.0000000000000000E+00   5.9181252962580439E-03   1.1587556281280513E-03   1.0447823244733375E-03
         3         31   2.8816095684577989E-03   2.4413816289299835E-02   1.0287484996695559E-02   3.0901420411225296E-03
         3         32   5.8358304205729846E-03   3.4234909119765990E-02   1.7816225196643151E-02   4.3519522416186696E-03
         3         33   2.6746464497211541E-03   1.4164000140921651E-02   7.6327773691391605E-03   1.7154383880754983E-03
         3         34   0.0000000000000000E+00   3.7894246906299417E-03   3.3087261980548413E-04   5.4294033845527184E-04
         3         35   0.0000000000000000E+00   8.2150324232130339E-05   1.7313824641337270E-06   7.5331001170029056E-06
         3         36   1.7235172749577529E-02   9.2177751537771233E-02   4.6794765608087353E-02   1.0746989583813107E-02
         3         37   5.5907185765455995E-02   1.6865085295692520E-01   1.1139310419966529E-01   1.7448145268835986E-02
         3         38   4.0355242062661469E-03   2.3095763800254129E-02   1.3373982841146706E-02   2.7741930806773479E-03
         3         39   0.0000000000000000E+00   1.2464881200010217E-02   1.5666978557541814E-03   2.0622867896296728E-03
         3         40   0.0000000000000000E+00   1.5396605443645178E-04   4.8847995740637847E-06   1.8978746733036886E-05
         3         41   1.1287734782935573E-04   2.2566364336899002E-03   6.3894547613183635E-04   2.8951347624700172E-04
         3         42   3.9337787038506853E-04   4.3854010521673517E-03   1.6920159465967487E-03   5.4712429580980174E-04
         3         43   3.5700955119023227E-04   2.3275902138057813E-03   1.0957386941689953E-03   3.0515008006776624E-04
         3         44   0.0000000000000000E+00   3.3154613494219360E-04   1.4372006884729199E-05   3.5448488936465022E-05
         3         45   0.0000000000000000E+00   1.4545277962089298E-05   1.3071511101088874E-07   1.0623072357511220E-06
         3         46   1.1917088291208702E-02   5.5649014718343597E-02   2.9946224690659749E-02   6.1788724448834948E-03
         3         47   4.7399816545354870E-02   1.2270238038890414E-01   8.5474704708324828E-02   1.1566319672128685E-02
         3         48   1.4608088051894321E-03   8.6411718392887926E-03   5.0706288733583897E-03   1.0656686847287013E-03
         3         49   0.0000000000000000E+00   6.6773546573541823E-03   9.6185675665684826E-04   1.1605316663685294E-03
         3         50   0.0000000000000000E+00   9.6947076878691840E-05   2.4064850595199904E-06   1.0568553254414606E-05
