################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  7.7663824955167673E-02 a       420     0    21     1    20
  1.3469721284853886E-02 a       421     0    22     1     1
  2.4575699645577617E-01 a       422     0    22     1     2
 -8.5580004023410122E-02 a       423     0    22     1     3
 -2.7156136232981892E-01 a       424     0    22     1     4
 -6.3932291723483109E-02 a       425     0    22     1     5
  4.2307064356719187E-02 a       426     0    22     1     6
 -4.0594496797835368E-02 a       427     0    22     1     7
 -1.3558124611610675E-01 a       428     0    22     1     8
  2.4168390401779322E-01 a       429     0    22     1     9
  1.6479290792921733E-01 a       430     0    22     1    10
  3.9736679154085902E-01 a       431     0    22     1    11
  1.2795441690482637E-01 a       432     0    22     1    12
  2.4354214429840434E-01 a       433     0    22     1    13
  4.9392602258284395E-02 a       434     0    22     1    14
  7.8627184402028233E-02 a       435     0    22     1    15
  1.3390700228580427E-01 a       436     0    22     1    16
 -4.7490799762671607E-03 a       437     0    22     1    17
 -2.3389765548440469E-01 a       438     0    22     1    18
 -1.0315850320610834E-01 a       439     0    22     1    19
  2.5019219513278668E-01 a       440     0    22     1    20
 -1.6595831593162572E-01 a       441     0    23     1     1
 -4.9976743463090151E-01 a       442     0    23     1     2
 -5.2318148208781654E-02 a       443     0    23     1     3
  5.2252618371014171E-02 a       444     0    23     1     4
  2.1354105472181636E-01 a       445     0    23     1     5
 -2.7217423794189087E-02 a       446     0    23     1     6
 -1.0912737100097666E-01 a       447     0    23     1     7
  2.9425728358730519E-01 a       448     0    23     1     8
 -2.2802102703476734E-01 a       449     0    23     1     9
 -1.2690361742269402E-01 a       450     0    23     1    10
 -3.1417530008743488E-01 a       451     0    23     1    11
  1.5948033792656444E-01 a       452     0    23     1    12
  1.3527623168782171E-01 a       453     0    23     1    13
 -1.9013030234993863E-01 a       454     0    23     1    14
 -7.7928836329137163E-02 a       455     0    23     1    15
  4.1279753422672214E-03 a       456     0    23     1    16
 -9.9159383987515448E-02 a       457     0    23     1    17
  2.1665514991656785E-02 a       458     0    23     1    18
  1.9456869067671809E-01 a       459     0    23     1    19
 -7.8173938261171791E-02 a       460     0    23     1    20
 -2.1762605610593365E-04 a       461     0    24     1     1
 -1.6875936080472334E-01 a       462     0    24     1     2
 -3.3607579514825896E-02 a       463     0    24     1     3
 -2.5981099777173056E-01 a       464     0    24     1     4
 -5.2177572937194383E-02 a       465     0    24     1     5
 -1.9758610359132907E-02 a       466     0    24     1     6
  2.1398703584282985E-01 a       467     0    24     1     7
 -8.7806076307781283E-02 a       468     0    24     1     8
  4.5421306266916857E-03 a       469     0    24     1     9
  7.1304435270074143E-02 a       470     0    24     1    10
  1.4745933609365944E-01 a       471     0    24     1    11
  7.3997012367734330E-02 a       472     0    24     1    12
  4.6017624345434010E-03 a       473     0    24     1    13
  2.0645516722196866E-01 a       474     0    24     1    14
 -6.7675088740898254E-02 a       475     0    24     1    15
  1.0746132081396992E-01 a       476     0    24     1    16
  8.0265418930249605E-02 a       477     0    24     1    17
 -1.5664992553797091E-01 a       478     0    24     1    18
  1.4661730715006485E-01 a       479     0    24     1    19
  7.1967358594365212E-03 a       480     0    24     1    20
  5.5540073866649879E-02 a       481     0    25     1     1
  2.2913744338528545E-02 a       482     0    25     1     2
  6.9722245576864780E-02 a       483     0    25     1     3
  2.5085059024339035E-01 a       484     0    25     1     4
 -2.4448699677841180E-02 a       485     0    25     1     5
 -3.9502060136936849E-02 a       486     0    25     1     6
  1.6827744634445438E-01 a       487     0    25     1     7
 -1.5833816989153818E-01 a       488     0    25     1     8
  3.1397831582176128E-02 a       489     0    25     1     9
 -7.6704361515995675E-02 a       490     0    25     1    10
 -1.7462155399521140E-01 a       491     0    25     1    11
 -7.5649508265797374E-02 a       492     0    25     1    12
 -2.3884016410017947E-01 a       493     0    25     1    13
 -3.2847548746176736E-02 a       494     0    25     1    14
 -1.2695441112759484E-01 a       495     0    25     1    15
 -4.4314998913989614E-02 a       496     0    25     1    16
  4.1874745684401471E-02 a       497     0    25     1    17
  1.1453719870732489E-01 a       498     0    25     1    18
  4.3000423383860783E-03 a       499     0    25     1    19
 -6.2078955374937163E-02 a       500     0    25     1    20
  8.2341675038384354E-02 a       501     0    26     1     1
  3.1419983752247020E-02 a       502     0    26     1     2
  1.2509805206876520E-01 a       503     0    26     1     3
  1.0042116667135122E-03 a       504     0    26     1     4
  1.1664925286353851E-01 a       505     0    26     1     5
 -5.0368789032702123E-02 a       506     0    26     1     6
  2.7620809362914250E-02 a       507     0    26     1     7
  2.8200489767849932E-02 a       508     0    26     1     8
 -2.7137156229856396E-01 a       509     0    26     1     9
  2.2948813519245012E-01 a       510     0    26     1    10
  1.9189848611567348E-01 a       511     0    26     1    11
