rank,epoch,train_step,traj,frame,frame_index,force_mae,force_rmse,energy_abs_error,epistemic_mean,epistemic_p95,epistemic_max,aleatoric_mean,aleatoric_p95,aleatoric_max
74,99,900,a,27832,13916,0.0059303720481693745,0.007815234363079071,0.009765625,0.0017350009875372052,0.0025697138626128435,0.003974626772105694,0.0034635034389793873,0.0046926746144890785,0.006474875379353762
75,99,900,b,28662,30546,0.005495269782841206,0.007246390916407108,0.014404296875,0.001720343017950654,0.0025695853400975466,0.003491876181215048,0.0034426229540258646,0.0046927426010370255,0.006068582646548748
76,99,900,a,26072,13036,0.005551919341087341,0.007317403331398964,0.00634765625,0.0017215199768543243,0.00256944983266294,0.0034047269728034735,0.0034467028453946114,0.00468377536162734,0.006084171589463949
77,99,900,a,28344,14172,0.006010343320667744,0.007773419842123985,0.00732421875,0.001749625545926392,0.0025693238712847233,0.003919099923223257,0.003487451933324337,0.0047696600668132305,0.006614189129322767
78,99,900,a,28336,14168,0.005829909350723028,0.007732487749308348,0.02197265625,0.0017413487657904625,0.002568865893408656,0.003764302236959338,0.0034743137657642365,0.004748866893351078,0.006337407510727644
79,99,900,a,27584,13792,0.005740828346461058,0.007432619575411081,0.005859375,0.0017500772373750806,0.002568767638877034,0.0038385302759706974,0.003489166032522917,0.004715677350759506,0.006461832672357559
80,99,900,a,26064,13032,0.005539808887988329,0.007320642936974764,0.006591796875,0.001742854597978294,0.0025687608867883682,0.003853005589917302,0.0034832896199077368,0.004745117854326963,0.006285385228693485
81,99,900,a,26960,13480,0.005639845971018076,0.0074724494479596615,0.000732421875,0.001737792044878006,0.0025685951113700867,0.0034306698944419622,0.003467404516413808,0.0047048055566847324,0.005906334612518549
82,99,900,a,28256,14128,0.005457078572362661,0.007359490729868412,0.001953125,0.0017228848300874233,0.0025679266545921564,0.003538887482136488,0.003447744296863675,0.004734143149107695,0.006114198360592127
83,99,900,a,27024,13512,0.005815291777253151,0.00777712557464838,0.017333984375,0.001747852424159646,0.0025676789227873087,0.003546504769474268,0.003480080747976899,0.004734116140753031,0.005969066172838211
84,99,900,a,27552,13776,0.005670054815709591,0.007392773870378733,0.008544921875,0.0017494315980002284,0.0025674954522401094,0.0036044777370989323,0.003486429341137409,0.004701987840235233,0.005998613312840462
85,99,900,a,27144,13572,0.005596988834440708,0.0073132142424583435,0.008544921875,0.0017500208923593163,0.002567253541201353,0.004150628577917814,0.0034875129349529743,0.0047238171100616455,0.00669371010735631
86,99,900,a,28640,14320,0.005869546439498663,0.007678501773625612,0.01513671875,0.0017308058449998498,0.0025670481845736504,0.003822837956249714,0.0034593073651194572,0.004698879085481167,0.0069168806076049805
87,99,900,a,26056,13028,0.006025266833603382,0.008059822022914886,0.008056640625,0.0017273597186431289,0.002566355047747493,0.0035453655291348696,0.003457315731793642,0.004759036935865879,0.006171342451125383
88,99,900,b,26166,29298,0.005577601492404938,0.007284478284418583,0.006103515625,0.0017264644848182797,0.0025660840328782797,0.0035922497045248747,0.003452816279605031,0.00466621108353138,0.006092923227697611
89,99,900,a,29144,14572,0.005725617054849863,0.007546361070126295,0.016357421875,0.0017359296325594187,0.0025658258236944675,0.0036433637142181396,0.0034676636569201946,0.004748817998915911,0.006120959296822548
90,99,900,a,28248,14124,0.005754315759986639,0.007786629255861044,0.00048828125,0.0017285984940826893,0.0025653312914073467,0.003892196575179696,0.003456119215115905,0.004688784014433622,0.006518647074699402
91,99,900,a,27728,13864,0.005792511161416769,0.007843931205570698,0.011962890625,0.0017419429495930672,0.0025645610876381397,0.00369982304982841,0.00347879808396101,0.00471014017239213,0.006596191320568323
92,99,900,a,28216,14108,0.005773555487394333,0.0077429041266441345,0.00537109375,0.0017326250672340393,0.0025639452505856752,0.00382738234475255,0.0034612868912518024,0.004687829874455929,0.006599668879061937
93,99,900,a,28232,14116,0.005636713467538357,0.007376485969871283,0.00146484375,0.001726561109535396,0.0025633927434682846,0.003900819458067417,0.0034540488850325346,0.004731388296931982,0.006609182804822922
94,99,900,a,27864,13932,0.005728932563215494,0.007718551438301802,0.00048828125,0.0017348559340462089,0.002563040005043149,0.0035274832043796778,0.003465506946668029,0.004697614349424839,0.006022355519235134
95,99,900,b,26638,29534,0.0057243169285357,0.007614218629896641,0.02197265625,0.0017353104194626212,0.00256293173879385,0.0035920932423323393,0.003467310918495059,0.004726857412606478,0.006090555340051651
96,99,900,b,26318,29374,0.005701217334717512,0.00754809333011508,0.01318359375,0.001721182488836348,0.002562842098996043,0.003438616869971156,0.003443524008616805,0.0047360435128211975,0.006192003842443228
97,99,900,b,26654,29542,0.005847497843205929,0.007853872142732143,0.019287109375,0.0017419583164155483,0.002562445355579257,0.00330551085062325,0.0034815927501767874,0.0047182259149849415,0.00599913764744997
98,99,900,b,26110,29270,0.005823587998747826,0.007799455896019936,0.01318359375,0.0017350405687466264,0.0025623012334108353,0.003698009066283703,0.003466211259365082,0.004698564764112234,0.0062834289856255054
99,99,900,a,27960,13980,0.005954524036496878,0.008104214444756508,0.001708984375,0.0017404805403202772,0.002562100999057293,0.003634982043877244,0.0034763275180011988,0.004694455768913031,0.006354472134262323
100,99,900,a,28384,14192,0.006108115892857313,0.008162610232830048,0.003173828125,0.0017327411333099008,0.002561671659350395,0.0036761113442480564,0.0034620848018676043,0.004732724279165268,0.006085232365876436
101,99,900,a,28272,14136,0.005801444873213768,0.0076126595959067345,0.008056640625,0.001735453843139112,0.0025614998303353786,0.0034572200383991003,0.0034681358374655247,0.004729934502393007,0.0059438422322273254
102,99,900,a,26240,13120,0.005832288879901171,0.00774193974211812,0.016845703125,0.0017198245041072369,0.0025614898186177015,0.0042271302081644535,0.003443339839577675,0.004754286725074053,0.0068520535714924335
103,99,900,b,28142,30286,0.0055473376996815205,0.007282457780092955,0.034912109375,0.0017078545643016696,0.0025614644400775433,0.003481608349829912,0.003428227035328746,0.0047076111659407616,0.00610044552013278
104,99,900,b,26150,29290,0.00577539624646306,0.007699622306972742,0.00048828125,0.0017443607794120908,0.002561393426731229,0.003483471227809787,0.003478532424196601,0.004677569959312677,0.005947514437139034
105,99,900,a,28504,14252,0.005761231295764446,0.007645373698323965,0.003662109375,0.0017276396974921227,0.002561187371611595,0.003591610351577401,0.0034560388885438442,0.004702311474829912,0.006208357866853476
106,99,900,a,28792,14396,0.005659408401697874,0.00769339594990015,0.00390625,0.0017225501360371709,0.0025609685108065605,0.0036143187899142504,0.003453893819823861,0.004729172680526972,0.006321886088699102
107,99,900,b,27878,30154,0.005098517518490553,0.006875089835375547,0.01025390625,0.0017247865907847881,0.0025608642026782036,0.0034005860798060894,0.0034471452236175537,0.004688991233706474,0.00569853326305747
108,99,900,a,27400,13700,0.005834568291902542,0.0076298946514725685,0.029296875,0.0017457996727898717,0.002560690976679325,0.003828490385785699,0.0034816397819668055,0.004687608685344458,0.006365333218127489
109,99,900,a,28784,14392,0.005607202649116516,0.007605627179145813,0.005126953125,0.0017350652487948537,0.002559895161539316,0.003746897680684924,0.0034686129074543715,0.00474903779104352,0.0065435017459094524
110,99,900,a,28040,14020,0.005836925469338894,0.007791134528815746,0.00048828125,0.0017378717893734574,0.0025596837513148785,0.003962985705584288,0.0034706848673522472,0.0047217425890266895,0.006745564751327038
111,99,900,a,28104,14052,0.005671599879860878,0.007546062581241131,0.010009765625,0.0017238408327102661,0.0025594825856387615,0.003691305872052908,0.0034490416292101145,0.004681163467466831,0.006109459325671196
112,99,900,a,29064,14532,0.005828745197504759,0.007734928745776415,0.02099609375,0.0017249684315174818,0.002558741718530655,0.003493628231808543,0.003447202267125249,0.004717377945780754,0.005881207529455423
113,99,900,a,26088,13044,0.005505532957613468,0.007265811320394278,0.007080078125,0.0017183893360197544,0.0025586464907974005,0.0038100925739854574,0.0034396082628518343,0.00470625888556242,0.00663568964228034
114,99,900,b,26158,29294,0.005472452379763126,0.0072015514597296715,0.000244140625,0.001745288260281086,0.002558609237894416,0.0035963552072644234,0.003481633961200714,0.0046821595169603825,0.006138520315289497
